2022-12-16 18:19:41,889 [main] INFO  c.j.d.d.JKDataAccessFactory - Init DataAccessFactory 
2022-12-16 18:19:41,900 [main] INFO  c.j.d.d.JKDataSourceFactory - datasource (default) not found, create new one
2022-12-16 18:19:41,903 [main] INFO  com.jk.core.config.JKConfig - Init.. 
2022-12-16 18:19:41,964 [main] INFO  com.jk.core.util.JK - Build info file found (/build.properties)
2022-12-16 18:19:41,968 [main] INFO  com.jk.core.config.JKConfig - Config file (/default.config.properties) found at (jar:file:/C:/Users/Jalal%20Kiswani/.m2/repository/com/jalalkiswani/jk-framework-data/7.0.0-M4/jk-framework-data-7.0.0-M4.jar!/default.config.properties), loading it 
2022-12-16 18:19:41,975 [main] INFO  com.jk.core.config.JKConfig - Config file (/config.properties) found at (file:/D:/source/github/jk-framework-data-jdbc-example/target/classes/config.properties), loading it 
2022-12-16 18:19:41,976 [main] INFO  com.jk.core.config.JKConfig - Adding all environment variables 
2022-12-16 18:19:42,118 [main] INFO  com.jk.core.config.JKConfig - App JKFramework-App config loading completed.  
2022-12-16 18:19:42,131 [main] INFO  c.j.d.d.impl.JKHibernateDataSource - Load Pool config default properties from (/default.config.properties)
2022-12-16 18:19:42,138 [main] INFO  c.j.d.d.impl.JKHibernateDataSource - Hibernate: start configurations 
2022-12-16 18:19:42,214 [main] WARN  org.hibernate.dialect.H2Dialect - HHH000393: The 0.0.0 version of H2 implements temporary table creation such that it commits current transaction; multi-table, bulk hql/jpaql will not work properly
2022-12-16 18:19:42,317 [main] INFO  org.hibernate.Version - HHH000412: Hibernate ORM core version 6.1.5.Final
2022-12-16 18:19:42,778 [main] INFO  org.hibernate.orm.beans - HHH10005002: No explicit CDI BeanManager reference was passed to Hibernate, but CDI is available on the Hibernate ClassLoader.
2022-12-16 18:19:43,111 [main] INFO  o.h.orm.connections.pooling.c3p0 - HHH010002: C3P0 using driver: org.h2.Driver at URL: jdbc:h2:file:./h2db.data
2022-12-16 18:19:43,111 [main] INFO  o.h.orm.connections.pooling.c3p0 - HHH10001001: Connection properties: {v$session.program=JKFramework-App, password=****, autocommit=true, user=sa}
2022-12-16 18:19:43,111 [main] INFO  o.h.orm.connections.pooling.c3p0 - HHH10001003: Autocommit mode: true
2022-12-16 18:19:43,117 [main] WARN  o.h.orm.connections.pooling.c3p0 - HHH010001: Both hibernate-style property 'hibernate.c3p0.max_statements' and c3p0-style property 'hibernate.c3p0.maxStatements' have been set in Hibernate properties.  Hibernate-style property 'hibernate.c3p0.max_statements' will be used and c3p0-style property 'hibernate.c3p0.maxStatements' will be ignored!
2022-12-16 18:19:43,138 [MLog-Init-Reporter] INFO  com.mchange.v2.log.MLog - MLog clients using slf4j logging.
2022-12-16 18:19:43,285 [main] INFO  com.mchange.v2.c3p0.C3P0Registry - Initializing c3p0-0.9.5.5 [built 11-December-2019 22:18:33 -0800; debug? true; trace: 10]
2022-12-16 18:19:43,305 [main] INFO  o.h.orm.connections.pooling.c3p0 - HHH10001007: JDBC isolation level: <unknown>
2022-12-16 18:19:43,338 [main] INFO  c.m.v.c.i.AbstractPoolBackedDataSource - Initializing c3p0 pool... com.mchange.v2.c3p0.PoolBackedDataSource@2ed0ab89 [ connectionPoolDataSource -> com.mchange.v2.c3p0.WrapperConnectionPoolDataSource@de431d4a [ acquireIncrement -> 1, acquireRetryAttempts -> 1, acquireRetryDelay -> 10000, autoCommitOnClose -> false, automaticTestTable -> null, breakAfterAcquireFailure -> false, checkoutTimeout -> 20000, connectionCustomizerClassName -> null, connectionTesterClassName -> com.mchange.v2.c3p0.impl.DefaultConnectionTester, contextClassLoaderSource -> library, debugUnreturnedConnectionStackTraces -> true, factoryClassLocation -> null, forceIgnoreUnresolvedTransactions -> false, forceSynchronousCheckins -> false, identityToken -> 1hge10hat7mvxxfyl1zqt|6872f9c8, idleConnectionTestPeriod -> 30, initialPoolSize -> 1, maxAdministrativeTaskTime -> 0, maxConnectionAge -> 0, maxIdleTime -> 3, maxIdleTimeExcessConnections -> 0, maxPoolSize -> 1, maxStatements -> 50, maxStatementsPerConnection -> 100, minPoolSize -> 1, nestedDataSource -> com.mchange.v2.c3p0.DriverManagerDataSource@aa288e57 [ description -> null, driverClass -> null, factoryClassLocation -> null, forceUseNamedDriverClass -> false, identityToken -> 1hge10hat7mvxxfyl1zqt|2c779e5, jdbcUrl -> jdbc:h2:file:./h2db.data, properties -> {password=******, v$session.program=JKFramework-App, autocommit=true, user=******} ], preferredTestQuery -> SELECT 1, privilegeSpawnedThreads -> true, propertyCycle -> 0, statementCacheNumDeferredCloseThreads -> 0, testConnectionOnCheckin -> false, testConnectionOnCheckout -> true, unreturnedConnectionTimeout -> 3600, usesTraditionalReflectiveProxies -> false; userOverrides: {} ], dataSourceName -> null, extensions -> {}, factoryClassLocation -> null, identityToken -> 1hge10hat7mvxxfyl1zqt|7e46d648, numHelperThreads -> 10 ]
2022-12-16 18:19:43,668 [main] INFO  SQL dialect - HHH000400: Using dialect: org.hibernate.dialect.H2Dialect
2022-12-16 18:19:44,177 [main] INFO  o.h.validator.internal.util.Version - HV000001: Hibernate Validator 8.0.0.Final
2022-12-16 18:19:44,560 [main] INFO  o.h.e.t.j.p.i.JtaPlatformInitiator - HHH000490: Using JtaPlatform implementation: [org.hibernate.engine.transaction.jta.platform.internal.NoJtaPlatform]
2022-12-16 18:19:44,576 [main] INFO  c.j.d.d.impl.JKHibernateDataSource - Hibernate: configured successfully 
